date,bond_id,bond_nm,price,increase_rt,premium_rt,dblow,curr_iss_amt,convert_value,ytm_rt,rating_cd,sw_name,market_cd,maturity_dt,year_left,volume,turnover_rt,convert_price,sprice,sincrease_rt,pb,_extra_1,_extra_2
2026-03-28,128121,宏川转债,125.881,2.34,10.89,136.77,6.52,113.52,-46.71,AA-,轻工制造,szmb,2026-07-17,0.307,4469.09,5.49,12.65,14.36,5.51,2.65,,
2026-03-28,113631,皖天转债,138.076,0.64,11.28,149.36,5.958,124.08,-12.33,AA+,家用电器,shmb,2027-11-08,1.619,5460.99,6.66,6.81,8.45,1.08,1.31,,
2026-03-28,113632,鹤21转债,137.575,0.72,11.65,149.23,20.167,123.22,-11.01,AA,国防军工,shmb,2027-11-17,1.644,9919.0,3.57,18.99,23.4,2.72,1.95,,
2026-03-28,127040,国泰转债,136.633,1.3,11.79,148.42,39.864,122.22,-15.91,AA+,纺织服饰,szmb,2027-07-07,1.28,14778.4,2.71,7.65,9.35,1.96,0.94,,
2026-03-28,118044,赛特转债,147.232,8.4,11.8,159.03,4.42,131.69,-6.46,A+,石油石化,shkc,2029-09-11,3.463,57408.16,89.4,18.9,24.89,0.81,3.64,,
2026-03-28,127024,盈峰转债,131.5,0.38,11.94,143.44,14.76,117.47,-27.0,AA+,公用事业,szmb,2026-11-04,0.608,9277.98,4.78,7.67,9.01,0.67,1.65,,
2026-03-28,110074,精达转债,410.787,2.39,12.53,423.32,2.637,365.06,-184.37,AA,商贸零售,shmb,2026-08-19,0.397,33360.5,31.09,3.32,12.12,3.24,4.27,,
2026-03-28,111013,新港转债,145.694,0.37,12.78,158.47,3.679,129.18,-6.81,AA-,家用电器,shmb,2029-03-08,2.951,24258.29,45.16,8.67,11.2,2.0,3.42,,
2026-03-28,127096,泰坦转债,212.0,3.35,14.17,226.17,2.918,185.68,-14.9,A,交通运输,szmb,2029-10-25,3.584,110347.71,177.91,13.27,24.64,0.57,3.64,,
2026-03-28,113058,友发转债,148.542,0.23,14.34,162.88,18.638,129.91,-12.06,AA,有色金属,shmb,2028-03-30,2.011,8687.65,3.14,4.48,5.82,0.52,1.24,,
2026-03-28,127079,华亚转债,202.648,2.4,14.49,217.14,3.106,176.99,-17.96,A+,基础化工,szmb,2028-12-16,2.726,18643.53,29.49,30.73,54.39,1.95,4.01,,
2026-03-28,127041,弘亚转债,121.887,0.57,14.61,136.5,5.999,106.35,-19.1,AA-,交通运输,szmb,2026-07-12,0.293,3992.79,5.45,17.0,18.08,2.38,2.55,,
2026-03-28,118004,博瑞转债,163.503,5.81,14.7,178.2,4.428,142.55,-17.18,AA-,汽车,shkc,2028-01-04,1.775,57394.21,80.38,34.74,49.52,6.52,8.31,,
2026-03-28,123256,恒帅转债,231.8,-0.94,14.89,246.69,3.273,201.76,-12.27,A+,建筑材料,szcy,2031-05-29,5.175,35728.39,46.04,62.55,126.2,3.34,10.23,,
2026-03-28,128137,洁美转债,173.2,0.12,15.03,188.23,5.909,150.57,-58.36,AA-,基础化工,szmb,2026-11-04,0.608,26178.5,25.67,26.46,39.84,0.2,5.66,,
2026-03-28,128108,蓝帆转债,112.0,0.27,15.19,127.19,15.203,97.23,-21.37,AA-,汽车,szmb,2026-05-28,0.17,4360.57,2.56,7.95,7.73,0.78,0.99,,
2026-03-28,118031,天23转债,132.026,0.39,15.24,147.27,58.512,114.56,-3.78,AA,商贸零售,shkc,2029-02-13,2.888,18743.4,2.43,16.0,18.33,0.94,1.96,,
2026-03-28,123247,万凯转债,250.681,2.77,15.9,266.58,19.643,216.28,-16.54,AA,石油石化,szcy,2030-08-16,4.392,40338.57,8.24,11.3,24.44,1.54,2.36,,
2026-03-28,118016,京源转债,156.293,1.22,16.13,172.42,1.675,134.59,-10.97,A,公用事业,shkc,2028-08-05,2.362,11117.38,42.57,6.91,9.3,-1.06,2.39,,
2026-03-28,113667,春23转债,158.497,0.73,16.83,175.33,5.699,135.67,-9.44,AA-,基础化工,shmb,2029-03-17,2.975,10528.01,11.83,10.15,13.77,1.4,1.97,,
2026-03-28,123245,集智转债,246.395,1.1,17.21,263.61,1.538,210.22,-15.27,A,交通运输,szcy,2030-08-14,4.386,13882.34,36.59,18.11,38.07,0.42,4.96,,
2026-03-28,123061,航新转债,132.095,0.05,17.22,149.32,1.675,112.69,-33.58,A-,房地产,szcy,2026-07-22,0.321,1556.99,7.03,14.82,16.7,0.72,5.19,,
2026-03-28,113056,重银转债,127.136,-0.44,17.49,144.63,115.631,108.21,-6.03,AAA,食品饮料,shmb,2028-03-23,1.992,16781.75,1.14,9.5,10.28,-1.91,0.57,,
2026-03-28,113640,苏利转债,141.812,2.91,17.61,159.42,9.101,120.58,-9.75,AA-,石油石化,shmb,2028-02-16,1.893,66528.84,51.27,17.2,20.74,10.03,1.46,,
2026-03-28,128128,齐翔转2,133.549,2.02,17.76,151.31,6.793,113.41,-44.38,AA,计算机,szmb,2026-08-20,0.4,11122.9,12.3,5.37,6.09,1.33,1.5,,
2026-03-28,113694,清源转债,149.855,0.26,17.87,167.73,5.0,127.14,-4.56,A+,商贸零售,shmb,2031-04-08,5.036,11266.39,14.96,12.86,16.35,-1.92,3.28,,
2026-03-28,123126,瑞丰转债,139.895,0.0,18.17,158.07,3.326,118.39,-8.36,A,石油石化,szcy,2027-09-10,1.458,9264.19,19.83,11.64,13.78,3.07,3.01,,
